,furnished_timestamp,prod_id,station_id,sensor,value,part_id
0,2021-06-17 19:05:31.421312512,ACME123,234,A,-0.7995458628749204,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
1,2021-06-17 19:05:33.673147648,ACME123,234,T_max,58.52762442902183,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
2,2021-06-17 19:05:29.393173504,ACME123,235,tol,-0.38895918095108967,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
3,2021-06-17 19:05:31.553795072,ACME123,235,Rückführkrft ballist.,15.81086033022456,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
4,2021-06-17 19:05:33.087976704,ACME123,235,r_nul,9.0,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
5,2021-06-17 19:05:33.462983936,ACME123,235,STATUS,OK,2f10d3bf-e5ed-450b-ba05-ea51b9dbc14c
6,2021-06-17 19:05:48.975298304,ACME123,234,A,-0.013833051478936353,e2ec58a7-274a-41a6-9893-34ca96f1e17a
7,2021-06-17 19:05:39.587068928,ACME123,235,tol,1.1915175366713262,e2ec58a7-274a-41a6-9893-34ca96f1e17a
8,2021-06-17 19:05:40.087096576,ACME123,235,Rückführkrft ballist.,19.22737102684843,e2ec58a7-274a-41a6-9893-34ca96f1e17a
9,2021-06-17 19:05:45.195968768,ACME123,235,r_nul,5.0,e2ec58a7-274a-41a6-9893-34ca96f1e17a
10,2021-06-17 19:05:45.600968960,ACME123,235,STATUS,OK,e2ec58a7-274a-41a6-9893-34ca96f1e17a
11,2021-06-17 19:05:49.486074624,ACME123,234,A,-0.028555795714468552,509cab7f-f18b-4310-934c-c4f19781b0d6
12,2021-06-17 19:05:49.636826624,ACME123,234,T_max,54.41404510267128,509cab7f-f18b-4310-934c-c4f19781b0d6
13,2021-06-17 19:05:51.311137536,ACME123,234,C,0.0,509cab7f-f18b-4310-934c-c4f19781b0d6
14,2021-06-17 19:05:54.261039616,ACME123,234,STATUS,OK,509cab7f-f18b-4310-934c-c4f19781b0d6
15,2021-06-17 19:05:50.479682816,ACME123,235,tol,-1.2122875291190198,509cab7f-f18b-4310-934c-c4f19781b0d6
16,2021-06-17 19:05:50.862122240,ACME123,235,Rückführkrft ballist.,23.765976763435432,509cab7f-f18b-4310-934c-c4f19781b0d6
17,2021-06-17 19:05:51.679144448,ACME123,235,r_nul,3.0,509cab7f-f18b-4310-934c-c4f19781b0d6
18,2021-06-17 19:05:53.395048960,ACME123,235,STATUS,OK,509cab7f-f18b-4310-934c-c4f19781b0d6
19,2021-06-17 19:05:59.713875968,ACME123,234,A,0.18383319139480686,054485d2-cc42-4c84-81f5-89642cdba1f8
20,2021-06-17 19:06:08.116068352,ACME123,234,T_max,42.81660302609262,054485d2-cc42-4c84-81f5-89642cdba1f8
21,2021-06-17 19:06:08.224877312,ACME123,234,C,2.0,054485d2-cc42-4c84-81f5-89642cdba1f8
22,2021-06-17 19:06:08.890959104,ACME123,234,STATUS,OK,054485d2-cc42-4c84-81f5-89642cdba1f8
